"","Title","Distributor","Release_Date","Year","MPAA","Running_Time","Gross","Total_Gross","Budget","Theaters","Date_Formatted","Action","Adventure","Fantasy","Sci-Fi","Comedy","Crime","Music","Musical","War","Sport","Family","Drama","Thriller","Horror","Romance","Animation","Mystery","Western","History","Decade","ROI","Sequel","tomatometer_rating","audience_rating","Real_Gross","Real_Budget","Real_Profit"
"1","Jurassic World","Universal Pictures","Jun 12",2015,"PG-13",124,647374160,652270625,150000000,4291,2023-06-12,"1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2010",4.34847083333333,1,70,78,805386134.342641,185211345.599683,620174788.742958
"2","The Avengers","Walt Disney Studios Motion Pictures","May 4",2012,"PG-13",143,620323837,623357910,220000000,4349,2023-05-04,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2010",2.83344504545455,1,91,91,794571388.707196,280425904.141624,514145484.565572
"3","Incredibles 2","Walt Disney Studios Motion Pictures","Jun 15",2018,"PG",118,602579381,608581744,200000000,4410,2023-06-15,"1","1","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2010",3.04290872,1,93,84,709277550.160289,233091957.539985,476185592.620304
"4","The Lion King","Walt Disney Studios Motion Pictures","Jul 19",2019,"PG",118,523578926,543638043,260000000,4802,2023-07-19,"0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","2010",2.09091555,1,52,88,622310700.958195,297625937.574664,324684763.383531
"5","The Dark Knight","Warner Bros.","Jul 18",2008,"PG-13",152,504798337,533345358,185000000,4366,2023-07-18,"1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","2000",2.88294788108108,1,94,94,724962047.816646,251465540.731451,473496507.085195
"6","Finding Dory","Walt Disney Studios Motion Pictures","Jun 17",2016,"PG",97,482853070,486295561,200000000,4305,2023-06-17,"0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2010",2.431477805,1,94,84,592968905.288904,243871814.938859,349097090.350045
"7","Avengers: Age of Ultron","Walt Disney Studios Motion Pictures","May 1",2015,"PG-13",141,458142221,459005868,250000000,4276,2023-05-01,"1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2010",1.836023472,1,76,83,566753963.002869,308685575.999471,258068387.003398
"8","Shrek 2","DreamWorks Distribution","May 19",2004,"PG",93,437622810,441226247,150000000,4223,2023-05-19,"0","1","1","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","2000",2.94150831333333,1,89,69,683633798.007223,232409269.390276,451224528.616947
"9","The Dark Knight Rises","Warner Bros.","Jul 20",2012,"PG-13",164,433311261,448139099,250000000,4404,2023-07-20,"1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2010",1.792556396,1,87,90,571226418.264944,318665800.160936,252560618.104008
"10","Toy Story 4","Walt Disney Studios Motion Pictures","Jun 21",2019,"G",100,430816534,434038008,200000000,4575,2023-06-21,"0","1","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","2010",2.17019004,1,97,94,496849881.053999,228943028.903588,267906852.150411
