"","Rank","Title","Gross","Theaters","Total Gross","Release Date","Distributor","Estimated","links","Year","Opening","Budget","Release Date (Wide)","MPAA","Running Time","Genres","In Release","Widest Release","IMDbPro"
"1",1,"Star Wars: Episode V - The Empire Strikes Back","$153,961,603","1,278","$209,398,025","May 21","Twentieth Century Fox","false","https://www.boxofficemojo.com/release/rl2775811585/?ref_=bo_sd_table_1",1980,"$4,910,483126 theaters","$18,000,000","May 21, 1980 (Jun 20, 1980)","PG","2 hr 4 min","Action Adventure Fantasy Sci-Fi","225 days/32 weeks","1,278 theaters","See more details at IMDbPro"
"2",2,"Smokey and the Bandit II","$66,132,626","1,196","$66,132,626","Aug 15","Universal Pictures","false","https://www.boxofficemojo.com/release/rl460359169/?ref_=bo_sd_table_2",1980,"$10,883,8351,196 theaters",NA,NA,NA,"1 hr 41 min","Action Adventure Comedy","139 days/19 weeks","1,196 theaters","See more details at IMDbPro"
"3",3,"The Blues Brothers","$57,229,890","594","$57,229,890","Jun 20","Universal Pictures","false","https://www.boxofficemojo.com/release/rl289834497/?ref_=bo_sd_table_3",1980,"$4,858,152594 theaters",NA,NA,NA,"2 hr 13 min","Action Adventure Comedy Crime Music Musical","195 days/27 weeks","594 theaters","See more details at IMDbPro"
"4",1,"Superman II","$108,185,706","1,878","$108,185,706","Jun 19","Warner Bros.","false","https://www.boxofficemojo.com/release/rl4084368897/?ref_=bo_sd_table_1",1981,"$14,100,5231,397 theaters","$54,000,000",NA,"PG","2 hr 7 min","Action Adventure Sci-Fi","196 days/28 weeks","1,878 theaters","See more details at IMDbPro"
"5",2,"Stripes","$85,297,000","1,074","$85,297,000","Jun 26","Columbia Pictures","false","https://www.boxofficemojo.com/release/rl1685227009/?ref_=bo_sd_table_2",1981,"$6,130,1971,074 theaters",NA,NA,"R","1 hr 46 min","Comedy War","189 days/27 weeks","1,074 theaters","See more details at IMDbPro"
"6",3,"The Cannonball Run","$72,179,579","1,692","$72,179,579","Jun 19","Twentieth Century Fox","false","https://www.boxofficemojo.com/release/rl4752897/?ref_=bo_sd_table_3",1981,"$11,765,6541,673 theaters",NA,NA,NA,"1 hr 35 min","Action Comedy Sport","196 days/28 weeks","1,692 theaters","See more details at IMDbPro"
"7",1,"E.T. the Extra-Terrestrial","$238,646,109","1,778","$359,197,037","Jun 11","Universal Pictures","false","https://www.boxofficemojo.com/release/rl995132929/?ref_=bo_sd_table_1",1982,"$11,835,3891,103 theaters","$10,500,000",NA,"PG","1 hr 55 min","Adventure Family Sci-Fi","569 days/81 weeks","1,778 theaters","See more details at IMDbPro"
"8",2,"Rocky III","$110,360,490","1,317","$124,146,897","May 28","United Artists","false","https://www.boxofficemojo.com/release/rl3010233857/?ref_=bo_sd_table_2",1982,"$12,431,486939 theaters",NA,NA,NA,"1 hr 39 min","Drama Sport","224 days/32 weeks","1,317 theaters","See more details at IMDbPro"
"9",3,"Star Trek II: The Wrath of Khan","$78,912,963","1,621","$78,912,963","Jun 4","Paramount Pictures","false","https://www.boxofficemojo.com/release/rl2993915393/?ref_=bo_sd_table_3",1982,"$14,347,2211,621 theaters","$11,200,000",NA,"PG","1 hr 53 min","Action Adventure Sci-Fi","211 days/30 weeks","1,621 theaters","See more details at IMDbPro"
"10",1,"Star Wars: Episode VI - Return of the Jedi","$231,117,020","1,764","$252,583,617","May 25","Twentieth Century Fox","false","https://www.boxofficemojo.com/release/rl2792588801/?ref_=bo_sd_table_1",1983,"$23,019,6181,002 theaters","$32,500,000",NA,"PG","2 hr 11 min","Action Adventure Fantasy Sci-Fi","587 days/83 weeks","1,764 theaters","See more details at IMDbPro"
